Lead ID,Prospect ID,Conversion Status,Lead Source,Product Category,Region,Customer Segment,Date,Sales
125,225,Converted,Dealer 4,Modular Switches,Central,Small Business,11-02-2019,5.84
126,226,Converted,Dealer 2, Home Automation,North,Small Business,16-04-2022,9.336
127,227,Not Converted,Dealer 4,MCBs,South,Wholesale,08-04-2022,25.98
128,228,Not Converted,Dealer 4, Home Automation,Central,Individual,07-03-2022,9.28
129,229,Converted,Dealer 1,Cabels ,North,Individual,30-04-2019,48.792
130,230,Converted,Dealer 2, Home Automation,North,Wholesale,16-07-2019,44.848
131,231,Converted,Dealer 2,Electrical fans,North,Wholesale,25-02-2022,23.56
132,232,Converted,Dealer 3,MCBs,South,Individual,27-01-2022,28.485
133,233,Converted,Dealer 3, Home Automation,North,Individual,11-02-2019,78.272
134,234,Not Converted,Dealer 6,MCBs,East,Enterprise,21-06-2019,86.62
135,235,Converted,Dealer 5,MCBs,West,Individual,27-03-2022,31.56
136,236,Converted,Dealer 1, Home Automation,East,Individual,17-04-2022,251.52
137,237,Converted,Dealer 4, Home Automation,South,Retail,26-09-2022,99.99
138,238,Not Converted,Dealer 2,Modular Switches,South,Small Business,25-09-2019,18.088
139,239,Converted,Dealer 4, Home Automation,North,Enterprise,09-06-2022,3.984
140,240,Not Converted,Dealer 1, Home Automation,Central,Enterprise,28-03-2022,1325.76
141,241,Not Converted,Dealer 4,Modular Switches,East,Wholesale,02-11-2019,3.108
142,242,Converted,Dealer 2,Modular Switches,South,Retail,04-02-2019,434.646
143,243,Converted,Dealer 3,Electrical fans,West,Small Business,13-11-2022,41.568
144,244,Not Converted,Dealer 6, Home Automation,South,Enterprise,23-08-2022,30.344
145,245,Not Converted,Dealer 2,Cabels ,East,Individual,11-09-2022,7.712
146,246,Not Converted,Dealer 2,MCBs,West,Individual,18-10-2022,111.888
147,247,Not Converted,Dealer 2,Modular Switches,West,Individual,30-03-2019,45.576
148,248,Not Converted,Dealer 2, Home Automation,North,Small Business,04-10-2019,12.56
149,249,Converted,Dealer 5,Cabels ,Central,Enterprise,10-05-2022,90.48
150,250,Converted,Dealer 2,MCBs,West,Small Business,15-05-2022,214.7
151,251,Converted,Dealer 4, Home Automation,North,Wholesale,24-06-2019,2.182
152,252,Converted,Dealer 5,Cabels ,Central,Wholesale,24-06-2022,26.406
153,253,Not Converted,Dealer 3,MCBs,North,Retail,30-01-2022,132.52
154,254,Converted,Dealer 5,Cabels ,South,Wholesale,05-02-2022,51.968
155,255,Converted,Dealer 4,Modular Switches,South,Enterprise,11-11-2019,431.976
156,256,Converted,Dealer 4, Home Automation,Central,Enterprise,01-01-2019,246.168
157,257,Converted,Dealer 4,Cabels ,North,Enterprise,30-11-2022,6.72
158,258,Converted,Dealer 1,Cabels ,East,Individual,03-05-2019,5.728
159,259,Converted,Dealer 3, Home Automation,North,Individual,24-04-2019,177.48
160,260,Converted,Dealer 3,MCBs,East,Enterprise,08-07-2019,54.712
161,261,Converted,Dealer 2, Home Automation,West,Wholesale,06-10-2022,3.208
162,262,Converted,Dealer 6,Cabels ,West,Wholesale,16-07-2019,26.176
163,263,Not Converted,Dealer 1,Electrical fans,West,Retail,01-04-2019,54.48
164,264,Converted,Dealer 5,MCBs,North,Small Business,19-05-2022,41.6
165,265,Converted,Dealer 1,Cabels ,Central,Retail,16-12-2019,85.232
166,266,Not Converted,Dealer 1,Electrical fans,East,Small Business,07-07-2019,442.764
167,267,Not Converted,Dealer 5,MCBs,North,Wholesale,01-07-2022,199.95
168,268,Converted,Dealer 3,Modular Switches,West,Enterprise,29-08-2019,63.68
169,269,Converted,Dealer 6, Home Automation,South,Individual,04-09-2019,211.96
170,270,Not Converted,Dealer 6,MCBs,West,Retail,13-04-2019,58.112
171,271,Converted,Dealer 6,MCBs,Central,Retail,09-10-2019,10.02
172,272,Not Converted,Dealer 4,Cabels ,West,Wholesale,14-10-2019,631.96
173,273,Not Converted,Dealer 3,Electrical fans,Central,Small Business,01-08-2019,120
174,274,Converted,Dealer 4,MCBs,South,Retail,22-03-2019,8.67
175,275,Converted,Dealer 5, Home Automation,East,Small Business,21-06-2019,79.384
176,276,Converted,Dealer 4,MCBs,West,Retail,18-10-2019,57.582
177,277,Not Converted,Dealer 2,MCBs,Central,Enterprise,17-10-2019,30.192
178,278,Not Converted,Dealer 2,Cabels ,East,Wholesale,01-07-2019,43.6
179,279,Not Converted,Dealer 1,MCBs,South,Small Business,14-11-2022,10.38
180,280,Not Converted,Dealer 1,Electrical fans,Central,Wholesale,22-12-2022,13.392
181,281,Not Converted,Dealer 3,Cabels ,South,Individual,09-05-2019,185.528
182,282,Converted,Dealer 3,Modular Switches,South,Wholesale,07-07-2019,13.776
183,283,Converted,Dealer 2,Modular Switches,North,Small Business,21-08-2022,7.764
184,284,Converted,Dealer 5,Cabels ,East,Small Business,02-04-2022,282.84
185,285,Not Converted,Dealer 1,Electrical fans,North,Individual,29-03-2019,2.952
186,286,Not Converted,Dealer 5,Cabels ,South,Individual,12-11-2022,27.018
187,287,Converted,Dealer 6,Cabels ,Central,Retail,10-01-2019,2.89
188,288,Converted,Dealer 6,Cabels ,West,Small Business,27-02-2019,22.608
189,289,Converted,Dealer 6,Cabels ,North,Wholesale,24-09-2022,242.9
190,290,Converted,Dealer 5,MCBs,West,Individual,09-06-2022,35.92
191,291,Not Converted,Dealer 6, Home Automation,North,Wholesale,07-11-2022,39.76
192,292,Converted,Dealer 6,Modular Switches,East,Individual,11-01-2022,47.744
193,293,Not Converted,Dealer 4,Electrical fans,West,Small Business,01-01-2022,9.584
194,294,Converted,Dealer 3,MCBs,North,Individual,20-06-2019,87.84
195,295,Not Converted,Dealer 2,Modular Switches,South,Small Business,20-05-2022,1049.2
196,296,Not Converted,Dealer 1, Home Automation,Central,Individual,19-12-2022,15.424
197,297,Converted,Dealer 4,Cabels ,South,Retail,21-10-2022,2.694
198,298,Converted,Dealer 6, Home Automation,East,Individual,26-04-2019,40.635
199,299,Not Converted,Dealer 1,Modular Switches,East,Retail,02-07-2019,55.176
200,300,Converted,Dealer 4,Modular Switches,North,Retail,09-01-2022,66.26
201,301,Converted,Dealer 2,MCBs,South,Wholesale,06-12-2019,3.798
202,302,Converted,Dealer 6,MCBs,West,Small Business,19-05-2019,222.384
203,303,Converted,Dealer 2,Electrical fans,North,Individual,04-05-2019,37.05
204,304,Converted,Dealer 4,Cabels ,North,Individual,03-11-2022,1979.928
205,305,Converted,Dealer 1, Home Automation,South,Enterprise,10-01-2022,24.96
206,306,Not Converted,Dealer 3,Cabels ,Central,Individual,17-03-2019,9.64
207,307,Not Converted,Dealer 6, Home Automation,East,Small Business,27-10-2022,41.37
208,308,Not Converted,Dealer 5,Cabels ,West,Small Business,04-09-2019,211.168
209,309,Converted,Dealer 1,Modular Switches,East,Individual,25-08-2022,484.704
210,310,Not Converted,Dealer 1,Modular Switches,North,Retail,08-01-2022,47.92
211,311,Converted,Dealer 3,Cabels ,Central,Enterprise,16-07-2019,25.176
212,312,Converted,Dealer 4,Electrical fans,North,Small Business,18-01-2019,5.584
213,313,Not Converted,Dealer 5,Modular Switches,Central,Enterprise,13-07-2022,390.272
214,314,Converted,Dealer 3,Electrical fans,South,Enterprise,26-02-2019,262.24
215,315,Not Converted,Dealer 4,Modular Switches,East,Small Business,29-07-2019,131.6
216,316,Not Converted,Dealer 4,MCBs,North,Retail,24-03-2019,22.72
217,317,Not Converted,Dealer 4,MCBs,Central,Retail,09-02-2019,286.4
218,318,Not Converted,Dealer 1,Cabels ,Central,Small Business,13-09-2022,979.95
219,319,Not Converted,Dealer 1, Home Automation,North,Individual,17-06-2022,22.75
220,320,Not Converted,Dealer 6,MCBs,East,Individual,24-10-2019,22.62
221,321,Converted,Dealer 6,Modular Switches,South,Enterprise,04-02-2019,14.952
222,322,Converted,Dealer 3,Modular Switches,South,Individual,23-01-2019,801.568
223,323,Not Converted,Dealer 5,MCBs,West,Enterprise,14-08-2022,2.376
224,324,Converted,Dealer 6,MCBs,West,Individual,27-09-2022,123.92
225,325,Converted,Dealer 2, Home Automation,West,Retail,23-03-2022,167.84
226,326,Converted,Dealer 3,MCBs,East,Retail,09-03-2019,32.064
227,327,Not Converted,Dealer 2,Cabels ,West,Retail,03-10-2019,191.079
228,328,Converted,Dealer 2, Home Automation,West,Individual,03-09-2022,7.152
229,329,Converted,Dealer 4,MCBs,East,Enterprise,14-06-2019,179.7
230,330,Not Converted,Dealer 1,Modular Switches,West,Enterprise,20-09-2019,419.68
231,331,Converted,Dealer 6,MCBs,South,Retail,12-12-2019,11.688
232,332,Converted,Dealer 1,Cabels ,North,Retail,03-12-2019,31.984
233,333,Converted,Dealer 6,Cabels ,South,Individual,06-10-2022,4.044
234,334,Converted,Dealer 1,Modular Switches,South,Individual,19-10-2022,61.12
235,335,Converted,Dealer 6, Home Automation,Central,Enterprise,27-10-2019,21.552
236,336,Converted,Dealer 1,Modular Switches,North,Wholesale,29-06-2019,58.24
237,337,Converted,Dealer 4,MCBs,South,Enterprise,03-10-2022,328.224
238,338,Not Converted,Dealer 2,Modular Switches,North,Individual,27-02-2019,3023.928
239,339,Converted,Dealer 6, Home Automation,South,Small Business,12-07-2022,26.96
240,340,Converted,Dealer 2,Electrical fans,East,Individual,12-03-2022,477.6
241,341,Converted,Dealer 6,Modular Switches,East,Individual,06-07-2022,466.32
242,342,Converted,Dealer 6, Home Automation,West,Small Business,20-05-2022,82.64
243,343,Not Converted,Dealer 4,Electrical fans,East,Individual,24-10-2022,4.784
244,344,Not Converted,Dealer 5, Home Automation,North,Enterprise,24-04-2022,177.48
245,345,Not Converted,Dealer 6, Home Automation,Central,Small Business,15-10-2019,122.352
246,346,Converted,Dealer 1,Electrical fans,West,Wholesale,12-04-2019,239.97
247,347,Not Converted,Dealer 4,Modular Switches,South,Individual,25-09-2019,208.16
248,348,Converted,Dealer 3,Electrical fans,East,Wholesale,09-04-2019,16.74
249,349,Not Converted,Dealer 2,Modular Switches,West,Wholesale,06-10-2022,47.04
250,350,Not Converted,Dealer 6, Home Automation,East,Small Business,19-12-2019,30.84
251,351,Converted,Dealer 5,Modular Switches,West,Retail,30-09-2019,68.04
252,352,Not Converted,Dealer 1,Cabels ,North,Wholesale,19-05-2019,52.56
253,353,Not Converted,Dealer 6,Electrical fans,North,Wholesale,12-07-2022,33.568
254,354,Not Converted,Dealer 1,Electrical fans,South,Retail,25-11-2022,8.73
255,355,Converted,Dealer 3,MCBs,West,Enterprise,20-01-2022,29.29
256,356,Converted,Dealer 6, Home Automation,Central,Retail,05-06-2022,39.936
257,357,Not Converted,Dealer 2, Home Automation,North,Enterprise,20-02-2022,18.464
258,358,Converted,Dealer 6,Modular Switches,South,Enterprise,02-07-2019,319.41
259,359,Converted,Dealer 2,Cabels ,West,Retail,23-01-2022,30
260,360,Converted,Dealer 5, Home Automation,South,Wholesale,10-07-2022,48.48
261,361,Not Converted,Dealer 6,Cabels ,North,Enterprise,15-04-2022,266.352
262,362,Converted,Dealer 4,MCBs,South,Retail,16-10-2022,483.136
263,363,Not Converted,Dealer 4,Electrical fans,West,Individual,03-10-2022,45
264,364,Converted,Dealer 3,Cabels ,East,Wholesale,09-05-2022,21.8
265,365,Converted,Dealer 4, Home Automation,Central,Enterprise,25-03-2019,17.712
266,366,Not Converted,Dealer 3,Electrical fans,North,Small Business,09-01-2022,21.78
267,367,Not Converted,Dealer 1,Cabels ,West,Wholesale,27-08-2022,161.568
268,368,Converted,Dealer 2,Cabels ,West,Individual,03-04-2022,36.56
269,369,Not Converted,Dealer 1,Modular Switches,South,Individual,04-06-2022,186.144
270,370,Not Converted,Dealer 2,Electrical fans,North,Retail,16-01-2022,0.836
271,371,Converted,Dealer 2,Cabels ,East,Individual,21-05-2019,862.344
272,372,Not Converted,Dealer 3,Modular Switches,East,Small Business,11-08-2022,38.24
273,373,Converted,Dealer 4, Home Automation,Central,Retail,17-12-2022,440.91
274,374,Converted,Dealer 4,Cabels ,Central,Individual,07-03-2019,241.44
275,375,Not Converted,Dealer 3,Modular Switches,South,Enterprise,16-11-2022,60.81
276,376,Converted,Dealer 3,Modular Switches,North,Wholesale,26-05-2019,22.14
277,377,Converted,Dealer 1,Electrical fans,East,Small Business,16-01-2019,20.97
278,378,Converted,Dealer 3,Modular Switches,North,Small Business,20-04-2019,139.96
279,379,Not Converted,Dealer 4,Cabels ,South,Small Business,15-12-2019,37.74
280,380,Not Converted,Dealer 3,MCBs,North,Enterprise,02-02-2022,135.95
281,381,Converted,Dealer 3, Home Automation,North,Individual,05-12-2022,539.658
282,382,Not Converted,Dealer 2,Cabels ,North,Wholesale,24-03-2022,201.584
283,383,Converted,Dealer 3,Cabels ,South,Wholesale,30-05-2022,359.976
284,384,Not Converted,Dealer 1, Home Automation,South,Enterprise,27-02-2022,7.752
285,385,Not Converted,Dealer 5, Home Automation,South,Retail,30-09-2022,33.568
286,386,Not Converted,Dealer 6,Modular Switches,East,Individual,06-02-2019,50.12
287,387,Converted,Dealer 6,Cabels ,West,Small Business,15-03-2022,30.84
288,388,Converted,Dealer 2,Modular Switches,North,Retail,11-07-2019,195.184
289,389,Not Converted,Dealer 2,Electrical fans,Central,Enterprise,27-04-2019,706.86
290,390,Not Converted,Dealer 6,Modular Switches,Central,Individual,05-07-2022,25.4
291,391,Converted,Dealer 2,Electrical fans,West,Individual,16-07-2022,215.65
292,392,Converted,Dealer 2,MCBs,North,Individual,14-09-2022,60.288
293,393,Not Converted,Dealer 4,Cabels ,North,Retail,26-01-2019,253.372
294,394,Converted,Dealer 4,Electrical fans,North,Retail,13-01-2022,287.968
295,395,Not Converted,Dealer 3,MCBs,South,Enterprise,05-05-2022,19.968
296,396,Converted,Dealer 5, Home Automation,East,Small Business,12-09-2022,8.736
297,397,Not Converted,Dealer 1,Modular Switches,South,Retail,30-01-2019,662.88
298,398,Not Converted,Dealer 6,MCBs,North,Wholesale,30-03-2019,823.96
299,399,Converted,Dealer 6,Electrical fans,West,Retail,11-09-2022,408.006
300,400,Converted,Dealer 4,Cabels ,North,Retail,04-02-2022,165.28
301,401,Converted,Dealer 4, Home Automation,North,Individual,23-07-2022,44.856
302,402,Converted,Dealer 2, Home Automation,East,Wholesale,17-04-2019,95.76
303,403,Converted,Dealer 1,MCBs,North,Small Business,07-04-2022,380.864
304,404,Not Converted,Dealer 4,MCBs,South,Wholesale,18-06-2019,9.144
305,405,Converted,Dealer 2,Modular Switches,Central,Small Business,13-11-2019,8.544
306,406,Not Converted,Dealer 5, Home Automation,East,Enterprise,02-08-2022,14.16
307,407,Converted,Dealer 4, Home Automation,East,Individual,30-04-2019,29
308,408,Converted,Dealer 6,Modular Switches,East,Enterprise,03-02-2019,36.4
309,409,Not Converted,Dealer 6,Cabels ,North,Retail,29-11-2019,51.75
310,410,Not Converted,Dealer 1,Modular Switches,East,Retail,16-11-2022,110.376
311,411,Converted,Dealer 1,Electrical fans,East,Individual,27-11-2022,151.62
312,412,Not Converted,Dealer 4,Electrical fans,South,Enterprise,12-06-2022,30.8
313,413,Converted,Dealer 4,MCBs,West,Wholesale,07-10-2019,45.96
314,414,Converted,Dealer 1,Modular Switches,South,Enterprise,13-02-2022,544.008
315,415,Converted,Dealer 1,Modular Switches,South,Small Business,17-07-2019,1.872
316,416,Not Converted,Dealer 5,MCBs,West,Retail,18-06-2019,854.352
317,417,Not Converted,Dealer 5,Cabels ,West,Wholesale,06-05-2022,55.992
318,418,Converted,Dealer 2,Modular Switches,East,Retail,17-09-2022,35.984
319,419,Converted,Dealer 6, Home Automation,South,Enterprise,08-05-2019,389.97
320,420,Converted,Dealer 6,Modular Switches,North,Individual,16-10-2019,89.95
321,421,Converted,Dealer 2,Cabels ,Central,Wholesale,02-11-2022,11.088
322,422,Not Converted,Dealer 2,Modular Switches,Central,Individual,23-07-2022,23.696
323,423,Converted,Dealer 1, Home Automation,Central,Enterprise,05-01-2019,11.416
324,424,Converted,Dealer 6,Electrical fans,South,Small Business,23-02-2022,253.764
325,425,Not Converted,Dealer 2,Electrical fans,West,Individual,14-11-2019,119.616
326,426,Not Converted,Dealer 3,Cabels ,East,Individual,12-08-2022,255.76
327,427,Converted,Dealer 4,Cabels ,East,Enterprise,26-04-2022,241.568
328,428,Not Converted,Dealer 2, Home Automation,Central,Wholesale,30-08-2022,69.3
329,429,Converted,Dealer 6,Electrical fans,East,Enterprise,11-10-2019,243.88
330,430,Converted,Dealer 2,Electrical fans,North,Individual,21-03-2019,2.214
331,431,Not Converted,Dealer 3,Electrical fans,North,Retail,29-11-2022,715.64
332,432,Converted,Dealer 1,Electrical fans,West,Retail,16-01-2022,1039.728
333,433,Not Converted,Dealer 6, Home Automation,East,Individual,21-06-2022,45.96
334,434,Converted,Dealer 1,Cabels ,South,Wholesale,10-10-2022,333.576
335,435,Converted,Dealer 4,Cabels ,East,Individual,22-08-2019,12.544
336,436,Not Converted,Dealer 1,MCBs,South,Retail,03-05-2022,3.98
337,437,Not Converted,Dealer 2,Cabels ,Central,Small Business,10-02-2019,302.384
338,438,Not Converted,Dealer 3,Electrical fans,South,Individual,06-09-2022,20.952
339,439,Converted,Dealer 1,Modular Switches,Central,Individual,10-01-2022,11.784
340,440,Converted,Dealer 5,Electrical fans,North,Small Business,13-02-2022,211.168
341,441,Converted,Dealer 6,Electrical fans,East,Wholesale,19-08-2019,487.92
342,442,Converted,Dealer 6,Cabels ,West,Enterprise,09-12-2019,15.24
343,443,Not Converted,Dealer 2,MCBs,East,Retail,02-05-2019,145.764
344,444,Not Converted,Dealer 5, Home Automation,Central,Retail,06-12-2019,259.896
345,445,Not Converted,Dealer 2,Modular Switches,East,Enterprise,03-09-2019,247.188
